Date,Forecast Pool Price,Actual Posted Pool Price,Day-Ahead Forecasted AIL,Actual AIL,Forecasted & Actual AIL Difference
"12/11/2020 10","55.55","64.23","10,781","11,110","-329"
"12/11/2020 11","61.83","68.69","10,775","11,145","-370"
"12/11/2020 12","89.52","78.10","10,753","11,169","-416"
"12/11/2020 13","56.71","57.31","10,694","11,142","-448"
"12/11/2020 14","46.14","61.10","10,671","11,067","-396"
"12/11/2020 15","42.41","49.43","10,643","11,027","-384"
"12/11/2020 16","67.90","61.59","10,656","11,021","-365"
"12/11/2020 17","153.19","81.19","10,807","11,205","-398"
"12/11/2020 18","751.36","187.81","11,122","11,207","-85"
"12/11/2020 19","221.95","161.19","10,979","11,058","-79"
"12/11/2020 20","61.08","70.74","10,873","11,019","-146"
"12/11/2020 21","39.09","44.36","10,738","10,928","-190"
"12/11/2020 22","34.39","34.87","10,520","10,707","-187"
"12/11/2020 23","34.90","34.77","10,210","10,429","-219"
"12/11/2020 24","38.15","38.64","9,924","10,135","-211"
"12/12/2020 01","37.48","36.43","9,759","9,918","-159"
"12/12/2020 02","34.92","34.96","9,617","9,742","-125"
"12/12/2020 03","34.98","34.98","9,532","9,617","-85"
"12/12/2020 04","35.05","35.00","9,501","9,577","-76"
"12/12/2020 05","35.03","35.02","9,516","9,566","-50"
"12/12/2020 06","35.02","34.87","9,579","9,614","-35"
"12/12/2020 07","35.04","34.97","9,725","9,763","-38"
"12/12/2020 08","30.07","30.09","10,239","10,013","226"
"12/12/2020 09","33.77","34.74","10,452","10,315","137"
"12/12/2020 10","38.18","36.96","10,558","10,497","61"
"12/12/2020 11","37.28","35.05","10,632","10,653","-21"
"12/12/2020 12","36.31","37.28","10,651","10,715","-64"
"12/12/2020 13","36.57","38.10","10,627","10,801","-174"
"12/12/2020 14","38.22","38.18","10,578","10,803","-225"
"12/12/2020 15","34.92","35.79","10,544","10,782","-238"
"12/12/2020 16","36.55","35.72","10,579","10,869","-290"
"12/12/2020 17","35.71","35.54","10,795","11,182","-387"
"12/12/2020 18","34.82","35.65","11,181","11,317","-136"
"12/12/2020 19","35.15","36.78","11,064","11,141","-77"
"12/12/2020 20","38.58","38.02","10,938","11,124","-186"
"12/12/2020 21","35.70","37.23","10,796","10,994","-198"
"12/12/2020 22","38.25","37.51","10,618","10,807","-189"
"12/12/2020 23","33.83","34.82","10,367","10,483","-116"
"12/12/2020 24","36.29","35.04","10,122","10,204","-82"


